tool,nthreads,size,repetitions,usec
openMP,1,1000,500,1510.55
openMP,2,500,500,844.6
openMP,4,250,500,1379.9
openMP,8,125,500,940.5
openMP,1,1000,1000,2974.8
openMP,2,500,1000,1647.55
openMP,4,250,1000,2317.0
openMP,8,125,1000,1811.35
openMP,1,1000,1500,4445.95
openMP,2,500,1500,2533.7
openMP,4,250,1500,2614.2
openMP,8,125,1500,2574.75
openMP,1,1000,2000,5899.9
openMP,2,500,2000,3247.15
openMP,4,250,2000,3258.05
openMP,8,125,2000,3287.5
openMP,1,1000,2500,7411.95
openMP,2,500,2500,4043.1
openMP,4,250,2500,4015.4
openMP,8,125,2500,4220.45
