tool,nthreads,size,repetitions,usec
openMP,1,1000000,500,1487185.9
openMP,2,500000,500,797676.2
openMP,4,250000,500,676383.35
openMP,8,125000,500,679379.7
openMP,1,1000000,1000,2972008.3
openMP,2,500000,1000,1597996.0
openMP,4,250000,1000,1339426.8
openMP,8,125000,1000,1356454.45
openMP,1,1000000,1500,4456536.65
openMP,2,500000,1500,2395962.95
openMP,4,250000,1500,1998005.25
openMP,8,125000,1500,2019056.55
openMP,1,1000000,2000,5939620.95
openMP,2,500000,2000,3185614.95
openMP,4,250000,2000,2657938.2
openMP,8,125000,2000,2698832.2
openMP,1,1000000,2500,7425896.9
openMP,2,500000,2500,3971041.55
openMP,4,250000,2500,3321325.1
openMP,8,125000,2500,3365096.85
