tool,nthreads,size,repetitions,usec
openMP,1,1000,500,1510.55
openMP,2,500,500,844.6
openMP,4,250,500,1379.9
openMP,8,125,500,940.5
openMP,1,1000,1000,2974.8
openMP,2,500,1000,1647.55
openMP,4,250,1000,2317.0
openMP,8,125,1000,1811.35
openMP,1,1000,1500,4445.95
openMP,2,500,1500,2533.7
openMP,4,250,1500,2614.2
openMP,8,125,1500,2574.75
openMP,1,1000,2000,5899.9
openMP,2,500,2000,3247.15
openMP,4,250,2000,3258.05
openMP,8,125,2000,3287.5
openMP,1,1000,2500,7411.95
openMP,2,500,2500,4043.1
openMP,4,250,2500,4015.4
openMP,8,125,2500,4220.45
openMP,1,10000,500,14812.2
openMP,2,5000,500,8029.95
openMP,4,2500,500,7407.4
openMP,8,1250,500,7722.8
openMP,1,10000,1000,29520.2
openMP,2,5000,1000,15646.55
openMP,4,2500,1000,13915.1
openMP,8,1250,1000,14300.75
openMP,1,10000,1500,44082.85
openMP,2,5000,1500,23354.9
openMP,4,2500,1500,20635.3
openMP,8,1250,1500,21861.95
openMP,1,10000,2000,58643.35
openMP,2,5000,2000,31112.0
openMP,4,2500,2000,27537.55
openMP,8,1250,2000,28277.85
openMP,1,10000,2500,73040.95
openMP,2,5000,2500,38773.9
openMP,4,2500,2500,34173.05
openMP,8,1250,2500,34408.1
openMP,1,100000,500,145470.55
openMP,2,50000,500,77755.65
openMP,4,25000,500,68103.75
openMP,8,12500,500,69246.35
openMP,1,100000,1000,288521.5
openMP,2,50000,1000,154463.4
openMP,4,25000,1000,133243.5
openMP,8,12500,1000,133237.55
openMP,1,100000,1500,432629.35
openMP,2,50000,1500,229962.15
openMP,4,25000,1500,198144.65
openMP,8,12500,1500,197636.5
openMP,1,100000,2000,575202.25
openMP,2,50000,2000,306027.7
openMP,4,25000,2000,263115.15
openMP,8,12500,2000,263624.15
openMP,1,100000,2500,718080.0
openMP,2,50000,2500,383486.75
openMP,4,25000,2500,327322.8
openMP,8,12500,2500,327405.7
openMP,1,1000000,500,1487185.9
openMP,2,500000,500,797676.2
openMP,4,250000,500,676383.35
openMP,8,125000,500,679379.7
openMP,1,1000000,1000,2972008.3
openMP,2,500000,1000,1597996.0
openMP,4,250000,1000,1339426.8
openMP,8,125000,1000,1356454.45
openMP,1,1000000,1500,4456536.65
openMP,2,500000,1500,2395962.95
openMP,4,250000,1500,1998005.25
openMP,8,125000,1500,2019056.55
openMP,1,1000000,2000,5939620.95
openMP,2,500000,2000,3185614.95
openMP,4,250000,2000,2657938.2
openMP,8,125000,2000,2698832.2
openMP,1,1000000,2500,7425896.9
openMP,2,500000,2500,3971041.55
openMP,4,250000,2500,3321325.1
openMP,8,125000,2500,3365096.85
