tool,nthreads,size,repetitions,usec
Pthreads,1,1000,500,1752.1
Pthreads,2,500,500,1052.1
Pthreads,4,250,500,1167.4
Pthreads,8,125,500,1162.15
Pthreads,1,1000,1000,3204.6
Pthreads,2,500,1000,2415.95
Pthreads,4,250,1000,1852.7
Pthreads,8,125,1000,1878.95
Pthreads,1,1000,1500,4709.35
Pthreads,2,500,1500,2992.05
Pthreads,4,250,1500,2511.5
Pthreads,8,125,1500,2562.4
Pthreads,1,1000,2000,6214.25
Pthreads,2,500,2000,3977.55
Pthreads,4,250,2000,3284.65
Pthreads,8,125,2000,3490.0
Pthreads,1,1000,2500,7690.45
Pthreads,2,500,2500,4653.25
Pthreads,4,250,2500,3900.6
Pthreads,8,125,2500,3920.8
