tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,500,1492459.55
Pthreads,2,500000,500,802812.85
Pthreads,4,250000,500,682114.55
Pthreads,8,125000,500,685719.1
Pthreads,1,1000000,1000,2985382.85
Pthreads,2,500000,1000,1605884.4
Pthreads,4,250000,1000,1350240.6
Pthreads,8,125000,1000,1355746.4
Pthreads,1,1000000,1500,4476969.8
Pthreads,2,500000,1500,2397702.5
Pthreads,4,250000,1500,2025156.25
Pthreads,8,125000,1500,2023790.6
Pthreads,1,1000000,2000,5966482.75
Pthreads,2,500000,2000,3227901.55
Pthreads,4,250000,2000,2697762.7
Pthreads,8,125000,2000,2703469.3
Pthreads,1,1000000,2500,7457674.8
Pthreads,2,500000,2500,4033177.45
Pthreads,4,250000,2500,3389365.85
Pthreads,8,125000,2500,3379957.6
