tool,nthreads,size,repetitions,usec
Pthreads,1,1000,500,1752.1
Pthreads,2,500,500,1052.1
Pthreads,4,250,500,1167.4
Pthreads,8,125,500,1162.15
Pthreads,1,1000,1000,3204.6
Pthreads,2,500,1000,2415.95
Pthreads,4,250,1000,1852.7
Pthreads,8,125,1000,1878.95
Pthreads,1,1000,1500,4709.35
Pthreads,2,500,1500,2992.05
Pthreads,4,250,1500,2511.5
Pthreads,8,125,1500,2562.4
Pthreads,1,1000,2000,6214.25
Pthreads,2,500,2000,3977.55
Pthreads,4,250,2000,3284.65
Pthreads,8,125,2000,3490.0
Pthreads,1,1000,2500,7690.45
Pthreads,2,500,2500,4653.25
Pthreads,4,250,2500,3900.6
Pthreads,8,125,2500,3920.8
Pthreads,1,10000,500,15236.45
Pthreads,2,5000,500,9797.35
Pthreads,4,2500,500,7386.25
Pthreads,8,1250,500,7573.3
Pthreads,1,10000,1000,30115.55
Pthreads,2,5000,1000,17822.0
Pthreads,4,2500,1000,13912.1
Pthreads,8,1250,1000,13948.2
Pthreads,1,10000,1500,44901.75
Pthreads,2,5000,1500,25933.05
Pthreads,4,2500,1500,20613.45
Pthreads,8,1250,1500,21143.0
Pthreads,1,10000,2000,59311.95
Pthreads,2,5000,2000,35225.25
Pthreads,4,2500,2000,27437.1
Pthreads,8,1250,2000,27737.85
Pthreads,1,10000,2500,73904.65
Pthreads,2,5000,2500,46133.3
Pthreads,4,2500,2500,34483.35
Pthreads,8,1250,2500,35065.65
Pthreads,1,100000,500,145182.8
Pthreads,2,50000,500,84635.15
Pthreads,4,25000,500,67792.85
Pthreads,8,12500,500,68383.45
Pthreads,1,100000,1000,288351.45
Pthreads,2,50000,1000,168513.1
Pthreads,4,25000,1000,134398.15
Pthreads,8,12500,1000,134352.0
Pthreads,1,100000,1500,431964.45
Pthreads,2,50000,1500,239588.4
Pthreads,4,25000,1500,197344.8
Pthreads,8,12500,1500,200101.4
Pthreads,1,100000,2000,574779.65
Pthreads,2,50000,2000,319188.9
Pthreads,4,25000,2000,260706.75
Pthreads,8,12500,2000,265343.85
Pthreads,1,100000,2500,718239.55
Pthreads,2,50000,2500,389268.3
Pthreads,4,25000,2500,327348.95
Pthreads,8,12500,2500,329261.65
Pthreads,1,1000000,500,1492459.55
Pthreads,2,500000,500,802812.85
Pthreads,4,250000,500,682114.55
Pthreads,8,125000,500,685719.1
Pthreads,1,1000000,1000,2985382.85
Pthreads,2,500000,1000,1605884.4
Pthreads,4,250000,1000,1350240.6
Pthreads,8,125000,1000,1355746.4
Pthreads,1,1000000,1500,4476969.8
Pthreads,2,500000,1500,2397702.5
Pthreads,4,250000,1500,2025156.25
Pthreads,8,125000,1500,2023790.6
Pthreads,1,1000000,2000,5966482.75
Pthreads,2,500000,2000,3227901.55
Pthreads,4,250000,2000,2697762.7
Pthreads,8,125000,2000,2703469.3
Pthreads,1,1000000,2500,7457674.8
Pthreads,2,500000,2500,4033177.45
Pthreads,4,250000,2500,3389365.85
Pthreads,8,125000,2500,3379957.6
