tool,nthreads,size,repetitions,usec
openMP,1,10000,500,18275.8
openMP,2,5000,500,12042.2
openMP,4,2500,500,6995.35
openMP,8,1250,500,7082.3
openMP,1,10000,1000,32167.65
openMP,2,5000,1000,20449.45
openMP,4,2500,1000,12344.4
openMP,8,1250,1000,9736.15
openMP,1,10000,1500,48106.0
openMP,2,5000,1500,27868.0
openMP,4,2500,1500,18616.15
openMP,8,1250,1500,15527.85
openMP,1,10000,2000,61326.3
openMP,2,5000,2000,39036.05
openMP,4,2500,2000,25247.15
openMP,8,1250,2000,25827.0
openMP,1,10000,2500,75888.2
openMP,2,5000,2500,45507.2
openMP,4,2500,2500,30836.55
openMP,8,1250,2500,31723.45
