tool,nthreads,size,repetitions,usec
openMP,1,1000000,500,1502190.6
openMP,2,500000,500,812635.15
openMP,4,250000,500,641984.7
openMP,8,125000,500,652717.35
openMP,1,1000000,1000,2969484.8
openMP,2,500000,1000,1597653.65
openMP,4,250000,1000,1272160.0
openMP,8,125000,1000,1291325.1
openMP,1,1000000,1500,4453773.55
openMP,2,500000,1500,2385867.45
openMP,4,250000,1500,1911583.25
openMP,8,125000,1500,1924648.2
openMP,1,1000000,2000,5931861.95
openMP,2,500000,2000,3184128.9
openMP,4,250000,2000,2572469.65
openMP,8,125000,2000,2584361.55
openMP,1,1000000,2500,7410813.2
openMP,2,500000,2500,3964470.15
openMP,4,250000,2500,3175662.65
openMP,8,125000,2500,3192180.45
