tool,nthreads,size,repetitions,usec
MPI,1,1000,500,2846.2
MPI,2,500,500,1678.45
MPI,4,250,500,713.75
MPI,8,125,500,984.45
MPI,1,1000,1000,5909.85
MPI,2,500,1000,2936.1
MPI,4,250,1000,1383.4
MPI,8,125,1000,1616.4
MPI,1,1000,1500,8050.45
MPI,2,500,1500,3824.55
MPI,4,250,1500,2168.45
MPI,8,125,1500,2301.15
MPI,1,1000,2000,9767.55
MPI,2,500,2000,5853.5
MPI,4,250,2000,2914.2
MPI,8,125,2000,2737.7
MPI,1,1000,2500,11451.25
MPI,2,500,2500,6808.85
MPI,4,250,2500,3494.4
MPI,8,125,2500,3123.4
tool,nthreads,size,repetitions,usec
MPI,1,10000,500,18275.8
MPI,2,5000,500,12042.2
MPI,4,2500,500,6995.35
MPI,8,1250,500,7082.3
MPI,1,10000,1000,32167.65
MPI,2,5000,1000,20449.45
MPI,4,2500,1000,12344.4
MPI,8,1250,1000,9736.15
MPI,1,10000,1500,48106.0
MPI,2,5000,1500,27868.0
MPI,4,2500,1500,18616.15
MPI,8,1250,1500,15527.85
MPI,1,10000,2000,61326.3
MPI,2,5000,2000,39036.05
MPI,4,2500,2000,25247.15
MPI,8,1250,2000,25827.0
MPI,1,10000,2500,75888.2
MPI,2,5000,2500,45507.2
MPI,4,2500,2500,30836.55
MPI,8,1250,2500,31723.45
tool,nthreads,size,repetitions,usec
MPI,1,100000,500,147974.9
MPI,2,50000,500,84416.4
MPI,4,25000,500,62110.65
MPI,8,12500,500,63973.9
MPI,1,100000,1000,291320.25
MPI,2,50000,1000,159820.6
MPI,4,25000,1000,123921.05
MPI,8,12500,1000,126336.85
MPI,1,100000,1500,434012.5
MPI,2,50000,1500,234189.55
MPI,4,25000,1500,186727.05
MPI,8,12500,1500,193094.85
MPI,1,100000,2000,577740.7
MPI,2,50000,2000,313075.75
MPI,4,25000,2000,247710.65
MPI,8,12500,2000,256253.15
MPI,1,100000,2500,723262.6
MPI,2,50000,2500,399698.85
MPI,4,25000,2500,312502.7
MPI,8,12500,2500,324539.95
tool,nthreads,size,repetitions,usec
MPI,1,1000000,500,1502190.6
MPI,2,500000,500,812635.15
MPI,4,250000,500,641984.7
MPI,8,125000,500,652717.35
MPI,1,1000000,1000,2969484.8
MPI,2,500000,1000,1597653.65
MPI,4,250000,1000,1272160.0
MPI,8,125000,1000,1291325.1
MPI,1,1000000,1500,4453773.55
MPI,2,500000,1500,2385867.45
MPI,4,250000,1500,1911583.25
MPI,8,125000,1500,1924648.2
MPI,1,1000000,2000,5931861.95
MPI,2,500000,2000,3184128.9
MPI,4,250000,2000,2572469.65
MPI,8,125000,2000,2584361.55
MPI,1,1000000,2500,7410813.2
MPI,2,500000,2500,3964470.15
MPI,4,250000,2500,3175662.65
MPI,8,125000,2500,3192180.45
