config, avg time (msec)
500_1us_16000bps,263412.744138
500_1us_64000bps,65853.4804288
500_1us_125Mbps,34.28743195
500_5us_16000bps,263412.809167
500_5us_64000bps,65853.4948697
500_5us_125Mbps,34.280477
500_10us_16000bps,263412.822828
500_10us_64000bps,65853.5552464
500_10us_125Mbps,34.37822375
1000_1us_16000bps,526299.407734
1000_1us_64000bps,131575.202695
1000_1us_125Mbps,68.1439246
1000_5us_16000bps,526299.442464
1000_5us_64000bps,131575.244912
1000_5us_125Mbps,68.10154885
1000_10us_16000bps,526299.487163
1000_10us_64000bps,131575.246462
1000_10us_125Mbps,68.1460341
1500_1us_16000bps,789186.046551
1500_1us_64000bps,197296.896828
1500_1us_125Mbps,101.81370335
1500_5us_16000bps,789186.093026
1500_5us_64000bps,197296.896699
1500_5us_125Mbps,101.8637015
1500_10us_16000bps,789186.1158
1500_10us_64000bps,197296.939874
1500_10us_125Mbps,101.9294352
2000_1us_16000bps,1052072.68539
2000_1us_64000bps,263018.569624
2000_1us_125Mbps,135.5127964
2000_5us_16000bps,1052072.70055
2000_5us_64000bps,263018.584822
2000_5us_125Mbps,135.4733662
2000_10us_16000bps,1052072.7496
2000_10us_64000bps,263018.633343
2000_10us_125Mbps,135.63309595
